编号,标题,链接,地点,面积,朝向,布局,楼层
156,整租·绿庭尚城 2室2厅 南,https://sh.lianjia.com/zufang/SH2335410601951764480.html,松江-九亭-绿庭尚城,94㎡,南,2室2厅2卫,低楼层（27层）
157,整租·春申景城MIDTOWN 2室2厅 南,https://sh.lianjia.com/zufang/SH2320699788922208256.html,闵行-春申-春申景城MIDTOWN,108㎡,南,2室2厅1卫,低楼层（14层）
158,整租·静安新城七区 2室2厅 南,https://sh.lianjia.com/zufang/SH2328841760404406272.html,闵行-静安新城-静安新城七区,95㎡,南,2室2厅2卫,高楼层（12层）
159,整租·贝尚湾(公寓) 2室2厅 南/北,https://sh.lianjia.com/zufang/SH2333130274814304256.html,松江-九亭-贝尚湾(公寓),85㎡,南北,2室2厅1卫,高楼层（16层）
160,整租·知雅汇(公寓) 2室2厅 东南,https://sh.lianjia.com/zufang/SH2325387352115527680.html,松江-九亭-知雅汇(公寓),91㎡,东南,2室2厅1卫,中楼层（10层）
161,整租·金悦公寓 2室2厅 南,https://sh.lianjia.com/zufang/SH2317845830490931200.html,闵行-龙柏-金悦公寓,89㎡,南,2室2厅1卫,高楼层（6层）
162,整租·龙柏金铃公寓 2室2厅 南,https://sh.lianjia.com/zufang/SH2337578527605391360.html,闵行-龙柏-龙柏金铃公寓,103㎡,南,2室2厅1卫,高楼层（11层）
163,整租·万科假日风景(公寓) 3室2厅 南,https://sh.lianjia.com/zufang/SH2324583359595937792.html,闵行-莘庄-万科假日风景(公寓),118㎡,南,3室2厅2卫,中楼层（6层）
164,整租·上海源花城 2室2厅 南,https://sh.lianjia.com/zufang/SH2333326494254252032.html,松江-九亭-上海源花城,93㎡,南,2室2厅1卫,高楼层（11层）
165,整租·旭辉新构想 3室2厅 南,https://sh.lianjia.com/zufang/SH2328170065486422016.html,浦东-洋泾-旭辉新构想,133㎡,南,3室2厅2卫,中楼层（24层）
166,整租·中房樱桃苑 3室2厅 南/北,https://sh.lianjia.com/zufang/SH2314512629726986240.html,浦东-三林-中房樱桃苑,128㎡,南北,3室2厅2卫,高楼层（13层）
167,整租·贵龙园 2室2厅 南,https://sh.lianjia.com/zufang/SH2325896488602828800.html,浦东-塘桥-贵龙园,115㎡,南,2室2厅2卫,高楼层（18层）
168,整租·龙柏四村 2室2厅 南,https://sh.lianjia.com/zufang/SH2328162360701239296.html,闵行-龙柏-龙柏四村,100㎡,南,2室2厅2卫,高楼层（6层）
169,整租·旭辉新构想 3室2厅 南,https://sh.lianjia.com/zufang/SH2328170117277958144.html,浦东-洋泾-旭辉新构想,130㎡,南,3室2厅1卫,中楼层（24层）
170,整租·金杨新村五街坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2336091330410708992.html,浦东-金杨-金杨新村五街坊,49㎡,南,1室1厅1卫,高楼层（6层）
171,整租·银都新村(1至7区) 1室1厅 南,https://sh.lianjia.com/zufang/SH2338476768543391744.html,闵行-颛桥-银都新村(1至7区),42㎡,南,1室1厅1卫,低楼层（6层）
172,整租·绿梅三村 1室0厅 南,https://sh.lianjia.com/zufang/SH2338334442973560832.html,闵行-莘庄-绿梅三村,30㎡,南,1室0厅1卫,中楼层（6层）
173,整租·莘松五村 1室1厅 南,https://sh.lianjia.com/zufang/SH2338321925232926720.html,闵行-莘庄-莘松五村,36㎡,南,1室1厅1卫,高楼层（5层）
174,整租·西环三村 1室0厅 南,https://sh.lianjia.com/zufang/SH2338318137356984320.html,闵行-莘庄-西环三村,38㎡,南,1室0厅1卫,高楼层（7层）
175,整租·田林十二村 2室1厅 西南,https://sh.lianjia.com/zufang/SH2334589989142134784.html,徐汇-田林-田林十二村,49㎡,西南,2室1厅1卫,低楼层（6层）
176,整租·薇馨家园 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2336023980760375296.html,闵行-春申-薇馨家园,56㎡,南北,2室1厅1卫,高楼层（6层）
177,整租·上海花城 2室1厅 南,https://sh.lianjia.com/zufang/SH2337394750401028096.html,长宁-中山公园-上海花城,100㎡,南,2室1厅1卫,高楼层（11层）
178,整租·金杨六街坊 2室1厅 南,https://sh.lianjia.com/zufang/SH2337002332241534976.html,浦东-金杨-金杨六街坊,53㎡,南,2室1厅1卫,高楼层（6层）
179,整租·岭南苑(凌兆路99弄) 1室1厅 南,https://sh.lianjia.com/zufang/SH2336242935383212032.html,浦东-三林-岭南苑(凌兆路99弄),58㎡,南,1室1厅1卫,中楼层（6层）
180,整租·青浦万达茂 2室1厅 南,https://sh.lianjia.com/zufang/SH2335421008364191744.html,青浦-盈浦-青浦万达茂,90㎡,南,2室1厅1卫,低楼层（21层）
181,整租·滨江名人苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2334136148202897408.html,黄浦-黄浦滨江-滨江名人苑,103㎡,南,2室2厅1卫,高楼层（31层）
182,整租·钦州路111弄 2室1厅 南,https://sh.lianjia.com/zufang/SH2335959667424886784.html,徐汇-康健-钦州路111弄,76㎡,南,2室1厅1卫,中楼层（30层）
183,整租·钦江大楼 2室1厅 北,https://sh.lianjia.com/zufang/SH2335956584418508800.html,徐汇-漕河泾-钦江大楼,65㎡,北,2室1厅1卫,高楼层（16层）
184,整租·南码头路144弄 1室1厅 南,https://sh.lianjia.com/zufang/SH2325978196044161024.html,浦东-南码头-南码头路144弄,34㎡,南,1室1厅1卫,中楼层（5层）
185,整租·金外滩花园 3室2厅 南,https://sh.lianjia.com/zufang/SH2334134814842044416.html,黄浦-黄浦滨江-金外滩花园,162㎡,南,3室2厅2卫,低楼层（27层）
186,整租·上南四村 1室1厅 南,https://sh.lianjia.com/zufang/SH2324507293040771072.html,浦东-世博-上南四村,29㎡,南,1室1厅1卫,高楼层（5层）
187,整租·西湖苑 2室1厅 东南,https://sh.lianjia.com/zufang/SH2333090029401800704.html,闵行-莘庄-西湖苑,62㎡,东南,2室1厅1卫,高楼层（6层）
188,整租·西湖苑 2室0厅 南,https://sh.lianjia.com/zufang/SH2323970616896012288.html,闵行-莘庄-西湖苑,51㎡,南,2室0厅1卫,高楼层（6层）
189,整租·上南七村 1室0厅 南/北,https://sh.lianjia.com/zufang/SH2313689134080212992.html,浦东-世博-上南七村,40㎡,南北,1室0厅1卫,高楼层（6层）
190,整租·绿梅二村 3室1厅 南,https://sh.lianjia.com/zufang/SH2338337201383292928.html,闵行-莘庄-绿梅二村,90㎡,南,3室1厅1卫,中楼层（6层）
191,整租·银桥花园 3室2厅 东南,https://sh.lianjia.com/zufang/SH2338111999747571712.html,闵行-颛桥-银桥花园,99㎡,东南,3室2厅2卫,高楼层（6层）
192,整租·上海春城 3室2厅 南/北,https://sh.lianjia.com/zufang/SH2335964290546409472.html,闵行-春申-上海春城,100㎡,南北,3室2厅1卫,高楼层（6层）
193,整租·龙柏四村三小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2337588265647357952.html,闵行-龙柏-龙柏四村三小区,51㎡,南,1室1厅1卫,中楼层（6层）
194,整租·云台一小区 2室1厅 南,https://sh.lianjia.com/zufang/SH2335306175978930176.html,浦东-世博-云台一小区,53㎡,南,2室1厅1卫,高楼层（6层）
195,整租·罗阳三村 2室1厅 南,https://sh.lianjia.com/zufang/SH2330305520021544960.html,闵行-梅陇-罗阳三村,75㎡,南,2室1厅1卫,中楼层（6层）
196,整租·小红楼 2室2厅 南/北,https://sh.lianjia.com/zufang/SH2335982314745765888.html,浦东-三林-小红楼,88㎡,南北,2室2厅1卫,高楼层（6层）
197,整租·新凯二期 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2326131669821825024.html,松江-泗泾-新凯二期,75㎡,南北,2室1厅1卫,中楼层（6层）
198,整租·南郊别墅(公寓) 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2323077312595369984.html,闵行-颛桥-南郊别墅(公寓),94㎡,南北,2室1厅1卫,高楼层（4层）
199,整租·南郊别墅(公寓) 2室2厅 南/北,https://sh.lianjia.com/zufang/SH2332419736203165696.html,闵行-颛桥-南郊别墅(公寓),98㎡,南北,2室2厅1卫,高楼层（5层）
200,整租·春申五村 2室1厅 南,https://sh.lianjia.com/zufang/SH2334943278396882944.html,闵行-莘庄-春申五村,62㎡,南,2室1厅1卫,低楼层（6层）
201,整租·沁春园一村 2室1厅 南,https://sh.lianjia.com/zufang/SH2331838878744313856.html,闵行-莘庄-沁春园一村,68㎡,南,2室1厅1卫,高楼层（6层）
202,整租·西环三村 2室1厅 南,https://sh.lianjia.com/zufang/SH2330938534447284224.html,闵行-莘庄-西环三村,76㎡,南,2室1厅1卫,高楼层（6层）
203,整租·莘松七村 2室1厅 南,https://sh.lianjia.com/zufang/SH2319327997876256768.html,闵行-莘庄-莘松七村,54㎡,南,2室1厅1卫,高楼层（6层）
204,整租·奥林匹克花园 3室2厅 南,https://sh.lianjia.com/zufang/SH2321690643556483072.html,松江-九亭-奥林匹克花园,106㎡,南,3室2厅2卫,中楼层（5层）
205,整租·青春驿站 2室2厅 南,https://sh.lianjia.com/zufang/SH2331893958202105856.html,松江-九亭-青春驿站,79㎡,南,2室2厅1卫,高楼层（13层）
206,整租·旭辉玫瑰湾 2室2厅 南,https://sh.lianjia.com/zufang/SH2336974809226805248.html,青浦-盈浦-旭辉玫瑰湾,90㎡,南,2室2厅1卫,低楼层（14层）
207,整租·柳明公寓 3室1厅 南,https://sh.lianjia.com/zufang/SH2338061293204291584.html,闵行-莘庄-柳明公寓,148㎡,南,3室1厅2卫,中楼层（11层）
208,整租·绿洲香岛花园 3室2厅 南,https://sh.lianjia.com/zufang/SH2338861164424855552.html,松江-莘闵别墅-绿洲香岛花园,134㎡,南,3室2厅2卫,高楼层（14层）
209,整租·日晖六村 1室0厅 南,https://sh.lianjia.com/zufang/SH2339019461828280320.html,徐汇-斜土路-日晖六村,34㎡,南,1室0厅1卫,高楼层（5层）
210,整租·弘扬公寓 2室2厅 南,https://sh.lianjia.com/zufang/SH2339109112131878912.html,浦东-金杨-弘扬公寓,95㎡,南,2室2厅1卫,高楼层（5层）
211,整租·馨兰小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2339139797618270208.html,长宁-西郊-馨兰小区,42㎡,南,1室1厅1卫,高楼层（6层）
212,整租·万宇阳光苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2338972788720664576.html,松江-新桥-万宇阳光苑,87㎡,南,2室2厅1卫,高楼层（18层）
213,整租·日晖六村 1室0厅 南,https://sh.lianjia.com/zufang/SH2339019461828280320.html,徐汇-斜土路-日晖六村,34㎡,南,1室0厅1卫,高楼层（5层）
214,整租·欣德花苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2338911317865537536.html,松江-新桥-欣德花苑,104㎡,南,2室2厅2卫,中楼层（5层）
215,整租·弘扬公寓 2室2厅 南,https://sh.lianjia.com/zufang/SH2339109112131878912.html,浦东-金杨-弘扬公寓,95㎡,南,2室2厅1卫,高楼层（5层）
216,整租·金地格林郡 2室2厅 南,https://sh.lianjia.com/zufang/SH2336977420659466240.html,青浦-夏阳-金地格林郡,90㎡,南,2室2厅1卫,高楼层（10层）
217,整租·绿梅二村 3室1厅 南,https://sh.lianjia.com/zufang/SH2338477863508393984.html,闵行-莘庄-绿梅二村,82㎡,南,3室1厅1卫,高楼层（6层）
218,整租·新凯城尚樱苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2339226626698510336.html,松江-泗泾-新凯城尚樱苑,74㎡,南,2室1厅1卫,高楼层（18层）
219,整租·新凯城尚樱苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2339234862650892288.html,松江-泗泾-新凯城尚樱苑,74㎡,南,2室1厅1卫,中楼层（18层）
220,整租·新凯城尚樱苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2339234889075277824.html,松江-泗泾-新凯城尚樱苑,74㎡,南,2室1厅1卫,高楼层（18层）
221,整租·新凯城尚樱苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2339234909870096384.html,松江-泗泾-新凯城尚樱苑,74㎡,南,2室1厅1卫,高楼层（18层）
222,整租·武定坊 1室1厅 南,https://sh.lianjia.com/zufang/SH2336733069937221632.html,静安-江宁路-武定坊,35㎡,南,1室1厅1卫,高楼层（4层）
223,整租·金家巷小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2336811592517697536.html,静安-曹家渡-金家巷小区,35㎡,南,1室1厅1卫,高楼层（7层）
224,整租·赤峰小区 1室0厅 东南,https://sh.lianjia.com/zufang/SH2338117595083055104.html,虹口-曲阳-赤峰小区,40㎡,东南,1室0厅1卫,高楼层（6层）
225,整租·长桥三村 2室0厅 南,https://sh.lianjia.com/zufang/SH2336689903477735424.html,徐汇-长桥-长桥三村,48㎡,南,2室0厅1卫,中楼层（6层）
226,整租·中福花苑 1室2厅 西,https://sh.lianjia.com/zufang/SH2337537409711087616.html,黄浦-蓬莱公园-中福花苑,44㎡,西,1室2厅1卫,低楼层（15层）
227,整租·丽泽梅傲苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2335389990244327424.html,浦东-书院镇-丽泽梅傲苑,52㎡,南,1室1厅1卫,中楼层（6层）
228,整租·新村路59弄 1室1厅 南,https://sh.lianjia.com/zufang/SH2335364845483851776.html,浦东-三林-新村路59弄,25㎡,南,1室1厅1卫,高楼层（3层）
229,整租·新城公寓 1室1厅 南,https://sh.lianjia.com/zufang/SH2335501651987152896.html,浦东-周浦-新城公寓,25㎡,南,1室1厅1卫,高楼层（6层）
230,整租·新舒苑 2室2厅 南,https://sh.lianjia.com/zufang/SH2335371554138882048.html,浦东-书院镇-新舒苑,66㎡,南,2室2厅1卫,中楼层（6层）
231,整租·镇宁路270号 2室0厅 东/西/北,https://sh.lianjia.com/zufang/SH2335396065500463104.html,静安-静安寺-镇宁路270号,44㎡,东西北,2室0厅1卫,高楼层（5层）
232,整租·丹桂佳苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2336086661781528576.html,浦东-惠南-丹桂佳苑,55㎡,南,1室1厅1卫,高楼层（6层）
233,整租·西凌新邨 1室1厅 南,https://sh.lianjia.com/zufang/SH2336083588262666240.html,黄浦-蓬莱公园-西凌新邨,44㎡,南,1室1厅1卫,低楼层（32层）
234,整租·长桥一村 1室1厅 西南,https://sh.lianjia.com/zufang/SH2335213131963301888.html,徐汇-长桥-长桥一村,42㎡,西南,1室1厅1卫,中楼层（6层）
235,整租·东南一村 1室1厅 南,https://sh.lianjia.com/zufang/SH2336250276237025280.html,浦东-周浦-东南一村,9㎡,南,1室1厅1卫,高楼层（5层）
236,整租·长新小区(普陀) 1室1厅 南,https://sh.lianjia.com/zufang/SH2338359975732051968.html,普陀-甘泉宜川-长新小区(普陀),41㎡,南,1室1厅1卫,低楼层（6层）
237,整租·长桥四村 1室1厅 南,https://sh.lianjia.com/zufang/SH2335427825408155648.html,徐汇-长桥-长桥四村,42㎡,南,1室1厅1卫,中楼层（7层）
238,整租·襄阳公寓 1室0厅 南,https://sh.lianjia.com/zufang/SH2335344229724987392.html,徐汇-建国西路-襄阳公寓,12㎡,南,1室0厅1卫,低楼层（28层）
239,整租·施湾家园 1室1厅 南,https://sh.lianjia.com/zufang/SH2336159936885047296.html,浦东-川沙-施湾家园,55㎡,南,1室1厅1卫,低楼层（6层）
240,整租·新泾二村 1室1厅 南,https://sh.lianjia.com/zufang/SH2337740913045929984.html,长宁-北新泾-新泾二村,36㎡,南,1室1厅1卫,低楼层（6层）
241,整租·北蒙三小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2338187529641271296.html,黄浦-五里桥-北蒙三小区,30㎡,南,1室1厅1卫,高楼层（6层）
242,整租·荡湾新村 1室1厅 南/北,https://sh.lianjia.com/zufang/SH2338118475307810816.html,浦东-惠南-荡湾新村,43㎡,南北,1室1厅1卫,高楼层（6层）
243,整租·崧泽华城华中苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2335443204553310208.html,青浦-赵巷-崧泽华城华中苑,57㎡,南,1室1厅1卫,高楼层（18层）
244,整租·高荣小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2335970084121747456.html,静安-曹家渡-高荣小区,34㎡,南,1室1厅1卫,低楼层（6层）
245,整租·延平路237弄 1室0厅 西,https://sh.lianjia.com/zufang/SH2338155841447788544.html,静安-曹家渡-延平路237弄,23㎡,西,1室0厅1卫,高楼层（7层）
246,整租·又一村(静安) 2室1厅 南/西,https://sh.lianjia.com/zufang/SH2335430134204735488.html,静安-江宁路-又一村(静安),50㎡,南西,2室1厅1卫,高楼层（7层）
247,整租·水霞小区 1室1厅 东南/南,https://sh.lianjia.com/zufang/SH2338176845968842752.html,长宁-仙霞-水霞小区,48㎡,东南南,1室1厅1卫,高楼层（6层）
248,整租·布鲁斯小镇(绿地·皇家官邸) 2室2厅 南,https://sh.lianjia.com/zufang/SH2336673619847159808.html,浦东-惠南-布鲁斯小镇(绿地·皇家官邸),90㎡,南,2室2厅1卫,低楼层（14层）
249,整租·大金更小区 1室1厅 南/北,https://sh.lianjia.com/zufang/SH2337578819730276352.html,长宁-仙霞-大金更小区,35㎡,南北,1室1厅1卫,高楼层（6层）
250,整租·广电大楼 1室1厅 东,https://sh.lianjia.com/zufang/SH2336100650674290688.html,静安-静安寺-广电大楼,40㎡,东,1室1厅1卫,低楼层（13层）
251,整租·丽园路574弄 1室0厅 南/北,https://sh.lianjia.com/zufang/SH2335451883684241408.html,黄浦-五里桥-丽园路574弄,32㎡,南北,1室0厅1卫,高楼层（7层）
252,整租·桃浦十村（紫腾苑小区银杏路120弄） 1室0厅 南,https://sh.lianjia.com/zufang/SH2337483913259122688.html,普陀-桃浦-桃浦十村（紫腾苑小区银杏路120弄）,35㎡,南,1室0厅1卫,高楼层（6层）
253,整租·安居锦竹苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2338151716626898944.html,普陀-桃浦-安居锦竹苑,56㎡,南,1室1厅1卫,中楼层（18层）
254,整租·化工一四村 2室0厅 南,https://sh.lianjia.com/zufang/SH2336195712402071552.html,徐汇-华东理工-化工一四村,38㎡,南,2室0厅1卫,低楼层（5层）
255,整租·梅陇四村 1室0厅 南,https://sh.lianjia.com/zufang/SH2336117764349509632.html,徐汇-华东理工-梅陇四村,33㎡,南,1室0厅1卫,中楼层（6层）
256,整租·新泾家苑 1室0厅 南,https://sh.lianjia.com/zufang/SH2336831473359003648.html,长宁-西郊-新泾家苑,54㎡,南,1室0厅1卫,高楼层（6层）
257,整租·王满小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2336128098560647168.html,长宁-西郊-王满小区,34㎡,南,1室1厅1卫,中楼层（5层）
258,整租·盛华景苑 1室2厅 南,https://sh.lianjia.com/zufang/SH2336731805044457472.html,徐汇-华泾-盛华景苑,67㎡,南,1室2厅1卫,低楼层（18层）
259,整租·高荣小区 1室0厅 南,https://sh.lianjia.com/zufang/SH2336149244245196800.html,静安-曹家渡-高荣小区,34㎡,南,1室0厅1卫,高楼层（7层）
260,整租·长桥三村 1室1厅 南,https://sh.lianjia.com/zufang/SH2335405298967658496.html,徐汇-长桥-长桥三村,46㎡,南,1室1厅1卫,高楼层（6层）
261,整租·凤凰赢家 1室0厅 东,https://sh.lianjia.com/zufang/SH2335953317609340928.html,杨浦-鞍山-凤凰赢家,36㎡,东,1室0厅1卫,低楼层（50层）
262,整租·南园新村 1室1厅 南,https://sh.lianjia.com/zufang/SH2336821100157075456.html,黄浦-打浦桥-南园新村,30㎡,南,1室1厅1卫,中楼层（6层）
263,整租·中福花苑 1室1厅 西,https://sh.lianjia.com/zufang/SH2336183991251771392.html,黄浦-蓬莱公园-中福花苑,42㎡,西,1室1厅1卫,低楼层（15层）
264,整租·安东小区 1室0厅 南,https://sh.lianjia.com/zufang/SH2336237044692959232.html,长宁-新华路-安东小区,30㎡,南,1室0厅1卫,高楼层（6层）
265,整租·西康路828号 1室0厅 南,https://sh.lianjia.com/zufang/SH2335957617853341696.html,静安-江宁路-西康路828号,25㎡,南,1室0厅1卫,低楼层（24层）
266,整租·紫竹小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2335299789605830656.html,长宁-北新泾-紫竹小区,29㎡,南,1室1厅1卫,高楼层（6层）
267,整租·瞿溪新村 2室0厅 南/北,https://sh.lianjia.com/zufang/SH2335276963373260800.html,黄浦-世博滨江-瞿溪新村,44㎡,南北,2室0厅1卫,高楼层（6层）
268,整租·海防路559号 1室1厅 南,https://sh.lianjia.com/zufang/SH2335395788827394048.html,静安-江宁路-海防路559号,37㎡,南,1室1厅1卫,中楼层（7层）
269,整租·三门二小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2336139035627487232.html,虹口-江湾镇-三门二小区,48㎡,南,1室1厅1卫,低楼层（6层）
270,整租·桃浦四村易居紫荆苑 1室0厅 南,https://sh.lianjia.com/zufang/SH2337466790608904192.html,普陀-桃浦-桃浦四村易居紫荆苑,40㎡,南,1室0厅1卫,中楼层（6层）
271,整租·花苑茶花园 1室1厅 南,https://sh.lianjia.com/zufang/SH2336100361209135104.html,徐汇-康健-花苑茶花园,42㎡,南,1室1厅1卫,高楼层（6层）
272,整租·金菊小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2335216361821192192.html,长宁-北新泾-金菊小区,45㎡,南,1室1厅1卫,低楼层（6层）
273,整租·园南二村 2室1厅 南,https://sh.lianjia.com/zufang/SH2335521538406612992.html,徐汇-植物园-园南二村,50㎡,南,2室1厅1卫,高楼层（6层）
274,整租·中远两湾城 1室0厅 南,https://sh.lianjia.com/zufang/SH2333976095634243584.html,普陀-中远两湾城-中远两湾城,30㎡,南,1室0厅0卫,低楼层（9层）
275,整租·东泉小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2334073531287486464.html,徐汇-植物园-东泉小区,44㎡,南,1室1厅1卫,高楼层（6层）
276,整租·永年路74号 1室1厅 南,https://sh.lianjia.com/zufang/SH2334037543412039680.html,黄浦-新天地-永年路74号,35㎡,南,1室1厅1卫,中楼层（6层）
277,整租·金水和璟园 2室1厅 南,https://sh.lianjia.com/zufang/SH2334731549377314816.html,奉贤-南桥-金水和璟园,75㎡,南,2室1厅1卫,低楼层（23层）
278,整租·鹤沙航城东茗苑 2室1厅 南/北,https://sh.lianjia.com/zufang/SH2333927542656352256.html,浦东-航头-鹤沙航城东茗苑,72㎡,南北,2室1厅1卫,中楼层（6层）
279,整租·荡湾新村 1室1厅 南,https://sh.lianjia.com/zufang/SH2334598994337988608.html,浦东-惠南-荡湾新村,42㎡,南,1室1厅1卫,中楼层（6层）
280,整租·蒙自路395弄 1室1厅 东/南,https://sh.lianjia.com/zufang/SH2334825131521605632.html,黄浦-五里桥-蒙自路395弄,31㎡,东南,1室1厅1卫,低楼层（7层）
281,整租·皮裘公寓 1室0厅 西北,https://sh.lianjia.com/zufang/SH2333939118968406016.html,静安-南京西路-皮裘公寓,45㎡,西北,1室0厅1卫,中楼层（4层）
282,整租·鲁班路400弄 1室0厅 南,https://sh.lianjia.com/zufang/SH2333977622922665984.html,黄浦-打浦桥-鲁班路400弄,25㎡,南,1室0厅0卫,低楼层（5层）
283,整租·民乐城泓瀚苑 2室1厅 南,https://sh.lianjia.com/zufang/SH2334742375479377920.html,浦东-惠南-民乐城泓瀚苑,78㎡,南,2室1厅1卫,低楼层（3层）
284,整租·汇成四村 2室0厅 南,https://sh.lianjia.com/zufang/SH2334085883956822016.html,徐汇-上海南站-汇成四村,50㎡,南,2室0厅1卫,高楼层（6层）
285,整租·云帆佳苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2334518180476616704.html,浦东-泥城镇-云帆佳苑,48㎡,南,1室1厅1卫,低楼层（6层）
286,整租·曹杨八村 1室0厅 南,https://sh.lianjia.com/zufang/SH2335356950386589696.html,普陀-真如-曹杨八村,32㎡,南,1室0厅2卫,高楼层（5层）
287,整租·荡湾新村 3室1厅 南,https://sh.lianjia.com/zufang/SH2335373957324079104.html,浦东-惠南-荡湾新村,64㎡,南,3室1厅1卫,低楼层（6层）
288,整租·苑宏新村 1室0厅 南,https://sh.lianjia.com/zufang/SH2336276483976470528.html,徐汇-徐汇滨江-苑宏新村,35㎡,南,1室0厅1卫,高楼层（6层）
289,整租·又一村(静安) 1室1厅 西,https://sh.lianjia.com/zufang/SH2333781665610211328.html,静安-江宁路-又一村(静安),30㎡,西,1室1厅1卫,高楼层（7层）
290,整租·华纺小区 1室0厅 东南,https://sh.lianjia.com/zufang/SH2335238976258457600.html,静安-曹家渡-华纺小区,34㎡,东南,1室0厅1卫,中楼层（7层）
291,整租·漕溪三村 1室1厅 南,https://sh.lianjia.com/zufang/SH2334536011444387840.html,徐汇-万体馆-漕溪三村,38㎡,南,1室1厅1卫,低楼层（5层）
292,整租·西姚家弄50-52号(双) 1室0厅 南,https://sh.lianjia.com/zufang/SH2335330395316559872.html,黄浦-豫园-西姚家弄50-52号(双),32㎡,南,1室0厅1卫,高楼层（6层）
293,整租·梅陇三村 1室1厅 南,https://sh.lianjia.com/zufang/SH2334654321914298368.html,徐汇-华东理工-梅陇三村,37㎡,南,1室1厅1卫,中楼层（6层）
294,整租·延平路430-440号 2室0厅 西南,https://sh.lianjia.com/zufang/SH2333839596305260544.html,静安-曹家渡-延平路430-440号,37㎡,西南,2室0厅1卫,高楼层（6层）
295,整租·长桥五村 1室1厅 南,https://sh.lianjia.com/zufang/SH2335992066108571648.html,徐汇-长桥-长桥五村,41㎡,南,1室1厅1卫,低楼层（6层）
296,整租·虹桥小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2334744426997891072.html,长宁-虹桥-虹桥小区,31㎡,南,1室1厅1卫,高楼层（6层）
297,整租·宜川四村 1室1厅 南,https://sh.lianjia.com/zufang/SH2333929166304444416.html,普陀-甘泉宜川-宜川四村,20㎡,南,1室1厅1卫,高楼层（6层）
298,整租·惠康苑西苑 1室1厅 南,https://sh.lianjia.com/zufang/SH2337554382003896320.html,浦东-惠南-惠康苑西苑,58㎡,南,1室1厅1卫,高楼层（14层）
299,整租·安东小区 1室1厅 南,https://sh.lianjia.com/zufang/SH2333853918100201472.html,长宁-新华路-安东小区,32㎡,南,1室1厅1卫,低楼层（6层）
300,整租·荡湾新村 2室1厅 南,https://sh.lianjia.com/zufang/SH2335934063808364544.html,浦东-惠南-荡湾新村,55㎡,南,2室1厅1卫,高楼层（5层）
